BookId,Title,Genre,Author,Status
1,The Silent Forest,Fantasy,Aarav Kapoor,available
2,Midnight Echoes,Science Fiction,Ishaan Rao,available
3,Crimson Horizon,Mystery,Priya Malhotra,available
4,Whispers of Time,Thriller,Ananya Brooks,available
5,Broken Compass,Romance,Rohan Foster,available
6,Golden Tides,Historical Fiction,Meera Reed,available
7,Shadows of the Past,Horror,Kabir Sharma,available
8,The Final Ember,Adventure,Saanvi Iyer,available
9,Celestial Path,Drama,Arjun Nair,available
10,Hidden Truths,Young Adult,Diya Sen,available
11,Dust and Dreams,Classic,Vihaan Parker,available
12,The Emerald Key,Detective Fiction,Kavya Hayes,available
13,Fading Light,Fantasy,Dev Cooper,available
14,Storm over Avalon,Science Fiction,Nisha Reddy,available
15,The Iron Lantern,Mystery,Rahul Verma,available
16,Moonlit River,Thriller,Sneha Patel,available
17,Fragments of Tomorrow,Romance,Kiran Thompson,available
18,The Lost Kingdom,Historical Fiction,Leela Bennett,available
19,Winter's Promise,Horror,Varun Mitchell,available
20,Summer of Secrets,Adventure,Tara Morgan,available
21,The Copper Sky,Drama,John Kapoor,available
22,Beneath Blue Waters,Young Adult,Emily Rao,available
23,The Vanishing Point,Classic,Michael Malhotra,available
24,Echoes in the Mist,Detective Fiction,Sophia Brooks,available
25,The Marble Throne,Fantasy,Daniel Foster,available
26,Paper Wings,Science Fiction,Olivia Reed,available
27,The Forgotten Garden,Mystery,William Sharma,available
28,Ashes and Stardust,Thriller,Emma Iyer,available
29,The Sapphire Crown,Romance,James Nair,available
30,A Thorn in Spring,Historical Fiction,Charlotte Sen,available
31,Beyond the Red Gate,Horror,Benjamin Parker,available
32,The Hollow City,Adventure,Amelia Hayes,available
33,Velvet Night,Drama,Henry Cooper,available
34,The Secret Harbour,Young Adult,Evelyn Reddy,available
35,A Map of Stars,Classic,Alexander Verma,available
36,The Broken Violin,Detective Fiction,Abigail Patel,available
37,River of Glass,Fantasy,Aarav Thompson,available
38,The Last Scholar,Science Fiction,Ishaan Bennett,available
39,The Painted Desert,Mystery,Priya Mitchell,available
40,The Ninth Hour,Thriller,Ananya Morgan,available
41,Dreams of Fire,Romance,Rohan Kapoor,available
42,The Quiet Storm,Historical Fiction,Meera Rao,available
43,A House of Letters,Horror,Kabir Malhotra,available
44,The Silver Compass,Adventure,Saanvi Brooks,available
45,Fields of Memory,Drama,Arjun Foster,available
46,The Black Rose,Young Adult,Diya Reed,available
47,The Dancing Flame,Classic,Vihaan Sharma,available
48,Cinder Road,Detective Fiction,Kavya Iyer,available
49,The Ivory Tower,Fantasy,Dev Nair,available
50,The Hidden Valley,Science Fiction,Nisha Sen,available
51,The Silent Forest 2,Mystery,Rahul Parker,available
52,Midnight Echoes 2,Thriller,Sneha Hayes,available
53,Crimson Horizon 2,Romance,Kiran Cooper,available
54,Whispers of Time 2,Historical Fiction,Leela Reddy,available
55,Broken Compass 2,Horror,Varun Verma,available
56,Golden Tides 2,Adventure,Tara Patel,available
57,Shadows of the Past 2,Drama,John Thompson,available
58,The Final Ember 2,Young Adult,Emily Bennett,available
59,Celestial Path 2,Classic,Michael Mitchell,available
60,Hidden Truths 2,Detective Fiction,Sophia Morgan,available
61,Dust and Dreams 2,Fantasy,Daniel Kapoor,available
62,The Emerald Key 2,Science Fiction,Olivia Rao,available
63,Fading Light 2,Mystery,William Malhotra,available
64,Storm over Avalon 2,Thriller,Emma Brooks,available
65,The Iron Lantern 2,Romance,James Foster,available
66,Moonlit River 2,Historical Fiction,Charlotte Reed,available
67,Fragments of Tomorrow 2,Horror,Benjamin Sharma,available
68,The Lost Kingdom 2,Adventure,Amelia Iyer,available
69,Winter's Promise 2,Drama,Henry Nair,available
70,Summer of Secrets 2,Young Adult,Evelyn Sen,available
71,The Copper Sky 2,Classic,Alexander Parker,available
72,Beneath Blue Waters 2,Detective Fiction,Abigail Hayes,available
73,The Vanishing Point 2,Fantasy,Aarav Cooper,available
74,Echoes in the Mist 2,Science Fiction,Ishaan Reddy,available
75,The Marble Throne 2,Mystery,Priya Verma,available
76,Paper Wings 2,Thriller,Ananya Patel,available
